gene_id	B100	B110	B175	B200	B210	B275	B300	B310	B375
MSTRG.10637	574	88	519	272	31	774	429	297	516
MSTRG.10638	647	1072	0	189	1649	0	234	1098	0
MSTRG.10639	124	629	30	59	688	43	82	634	37
MSTRG.1064	217	30465	442	2	118	1055	25	25326	298
MSTRG.10640	342	39883	100	282	46919	42	177	39887	43
MSTRG.10641	6	3598	517	106	2505	345	2	4304	720
MSTRG.10642	1266	1021	904	1640	694	832	320	1329	444
MSTRG.10643	877	5359	5879	287	102	13661	319	2082	3025
MSTRG.10644	1905	82	3096	11177	7	2047	667	24	22935
MSTRG.10645	602	2587	0	645	8961	0	190	3056	0
MSTRG.10646	1245	250	0	767	163	166	510	1004	1
MSTRG.10647	0	2	103	0	41	96	0	0	683
MSTRG.10648	4287	209786	135	1404	263072	4	3195	232902	20
MSTRG.10649	1060	2	971	1133	36	708	564	22	7755
MSTRG.1065	6	1372	812	4	670	1327	1	1228	909
MSTRG.10650	2114	244	966	1195	167	765	989	345	7716
MSTRG.10651	0	4	0	0	2	0	0	4	0
MSTRG.10652	95	0	48	3392	115	117	2150	128	11
MSTRG.10653	0	65	761	0	100	1297	0	244	683
MSTRG.10654	61	3	6124	35	0	5775	66	0	6458
MSTRG.10655	604	730	8581	3	37	16403	60	367	25061
MSTRG.10656	45	393	2207	7	227	5098	0	355	1623
MSTRG.10657	1332	207	1164	1337	123	913	682	234	801
MSTRG.10658	2671	2	4186	4049	0	5821	1786	1	4052
MSTRG.10659	49	1	1361	43	1	6314	2	0	3328
MSTRG.1066	4827	7533	0	6606	5936	81	3807	5322	58
MSTRG.10660	0	808	53	0	821	96	0	666	114
MSTRG.10661	0	24	783	0	11	4269	0	49	987
MSTRG.10662	32065	0	430	17145	78	332	26481	0	476
MSTRG.10663	1063	1	269	737	2	193	578	1	326
MSTRG.10664	1298	0	315	226	0	76	629	0	422
MSTRG.10665	16	1905	678	84	3594	28	14	3745	247
MSTRG.10666	671	590	16	976	1031	151	366	936	24
MSTRG.10667	2958	159	51	1908	57	1	1564	152	24
MSTRG.10668	18	616	719	37	311	532	45	752	553
MSTRG.10669	712	716	284	660	437	218	761	1019	537
MSTRG.1067	46352	14515	0	26806	12671	1	28865	11430	19
MSTRG.10670	4275	762	2927	2216	408	5238	3679	988	2159
