gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.4336	4803	6783	494	959	0	1857	9493	216	80	0	1970	8342	419	111	0
MSTRG.4337	6469	53	1977	385	0	8852	122	3644	186	0	4007	75	2416	0	0
MSTRG.4338	3	144	835	496	0	1	155	22	276	0	1	356	2657	178	0
MSTRG.4339	1236	768	11852	0	4	1794	421	2298	0	2	365	447	4147	0	121
MSTRG.434	152	1023	9320	1904	2710	192	207	7961	2611	4590	160	157	10713	2369	5996
MSTRG.4340	205	54	112	1979	601	92	6	753	7344	817	127	7	200	166	74
MSTRG.4341	1816	480	2865	463	2282	932	402	1133	2563	2607	968	692	3064	132	1447
MSTRG.4342	105	2289	45	3418	90	32	2345	3	1850	74	40	1728	130	770	275
MSTRG.4343	1	158	4108	1155	1132	3	144	2788	786	4036	7	322	4099	1201	1234
MSTRG.4344	8398	0	531	7189	21	9402	0	244	830	4	6233	0	155	2389	0
MSTRG.4345	18	528	103	199	601	74	152	255	709	781	16	245	150	78	726
MSTRG.4346	170	122	51	0	0	29	54	29	0	0	145	79	359	0	0
MSTRG.4347	183	2112	2971	220	10	23	1796	1539	2	42	59	2003	2225	823	8
MSTRG.4348	258	35	3769	471	26	466	34	3905	1	77	422	128	4469	713	17
MSTRG.4349	720	2481	78	6379	68	135	3118	1	6223	127	617	3619	30	4634	33
MSTRG.435	9989	225	5330	13	4834	7831	55	2799	569	4309	3878	46	3625	120	3463
MSTRG.4350	2276	3782	3122	5473	455	2256	10540	1513	3579	511	1404	3281	1288	4607	410
MSTRG.4351	241	498	10770	334	68	259	142	11039	172	82	254	524	11355	285	121
MSTRG.4352	3146	657	7	1105	52	3063	348	109	1440	31	3108	730	1	611	57
MSTRG.4353	601	40	686	1818	359	60	90	3092	2072	462	215	30	745	1400	316
MSTRG.4354	128	21	2992	266	11421	58	176	4213	363	9642	63	45	2804	266	7456
MSTRG.4355	1639	1078	5079	1522	3115	950	1269	1909	1341	3298	1080	679	2721	735	3043
MSTRG.4356	5867	2244	3459	2684	48	10969	2161	303	1993	290	2736	2582	1437	1614	0
MSTRG.4357	488	591	691	417	124	158	416	382	458	187	693	671	331	621	307
MSTRG.4358	91	2325	110	1166	270	227	2726	65	1061	158	92	2440	220	701	144
MSTRG.4359	357	520	88	214	807	1	670	113	134	8112	380	597	71	259	1954
MSTRG.436	518	33	237	123	6029	194	116	113	340	6179	41	6	158	193	2881
MSTRG.4360	57	2588	44	258	18048	89	2432	41	36	12936	30	3419	23	59	9961
MSTRG.4361	39	2131	108	584	8	141	2925	10	379	4	45	1880	102	420	48
MSTRG.4362	1281	2230	1	11	101	1185	2727	25	34	44	518	1905	148	8	36
MSTRG.4363	962	820	1003	1	290	907	844	1319	29	357	1248	1203	1319	0	151
MSTRG.4364	1884	100	308	1604	3	1676	241	25	387	0	1227	299	352	801	10
MSTRG.4365	413	17	146	1144	14	309	18	22	1677	21	405	34	69	1177	20
MSTRG.4366	2806	504	9	78	267	2052	771	39	140	293	2213	754	222	30	265
MSTRG.4367	849	1511	481	4021	2799	691	1035	273	5552	3720	572	1564	611	3796	2908
MSTRG.4368	5410	0	526	8194	4360	2738	50	1336	7038	4904	5543	0	1042	5893	3679
MSTRG.4369	2340	1	19	26	296	2321	95	21	37	53	598	0	33	90	140
MSTRG.437	151	1208	9053	47	720	28	1018	7281	6	1006	54	887	7741	8	618
MSTRG.4370	3163	108	8197	0	242	2971	35	2374	5	751	1492	128	5082	1	146
MSTRG.4371	891	0	104	11	34	601	0	90	18	60	1234	0	147	17	53
MSTRG.4372	123	4	451	99	596	148	4	843	99	905	244	90	615	9	721
MSTRG.4373	0	2	207	609	0	4	36	107	648	34	3	15	53	474	2
MSTRG.4374	509	0	246	9	34	508	181	1139	26	24	664	4	211	2	22
MSTRG.4375	1810	3	1905	0	198	1369	25	4965	0	188	1298	0	2548	0	332
MSTRG.4376	1	2	691	8360	359	128	121	993	31138	433	2	1	1134	12077	654
MSTRG.4377	0	2	11695	4238	2	65	15	6932	12044	20	0	15	9847	4993	11
MSTRG.4378	101	16	373	6427	41	29	51	521	14230	46	88	68	233	5634	54
MSTRG.4379	0	0	39	1768	362	0	133	97	1050	233	0	63	25	263	478
MSTRG.438	21	1562	640	1234	0	100	4745	227	777	56	4	1431	301	690	243
MSTRG.4380	7	9	1363	82	375	18	557	1408	189	285	16	450	1522	70	211
MSTRG.4381	5	3	1	908	1182	5	1	1898	1187	1147	184	15	5	857	1173
MSTRG.4382	1	2	1195	104	818	128	58	516	91	1493	62	0	1751	84	762
MSTRG.4383	0	2	1562	161	6006	69	34	2801	330	19513	0	6	1361	93	8590
MSTRG.4384	13	2	330	236	6055	38	12	242	178	7386	84	10	43	134	7279
