gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.5107	8945	677	221	91	4342	4204	511	394	65	4495	4183	520	283	105	3829
MSTRG.5108	2687	869	105	582	80	5159	2074	15	586	361	1356	484	59	496	66
MSTRG.5109	708	666	10192	433	13573	1386	351	6148	769	17583	688	34	9584	401	16025
MSTRG.511	235	130	1	1084	89	8	46	0	159	113	246	66	1	229	142
MSTRG.5110	313	69	1800	239	705	27	186	1483	646	841	37	103	2295	128	665
MSTRG.5111	1365	980	1	1	200	764	557	1	0	298	797	1035	2	2	190
MSTRG.5112	1377	11006	1	14	0	1000	7601	1	40	11	1045	12116	1	83	15
MSTRG.5113	0	260	383	536	189	0	910	603	357	155	0	423	763	223	217
MSTRG.5114	2198	110	1892	4807	25	396	75	1763	4408	54	2260	70	1288	5858	31
MSTRG.5115	986	4243	148	64	4095	583	1916	28	70	6486	1344	2840	182	44	1700
MSTRG.5116	1	1473	0	2254	14	1	1399	0	1458	451	23	1307	0	1864	6
MSTRG.5117	5697	6424	179	0	218	4073	15892	276	0	35	4394	6908	43	0	241
MSTRG.5118	729	939	361	0	136	486	703	280	0	21	443	962	342	0	201
MSTRG.5119	889	725	8	103	1990	1944	347	2	116	1236	311	732	6	157	1040
MSTRG.512	102	7891	2563	727	637	747	1058	5444	774	175	134	2979	4375	652	501
MSTRG.5120	407	1769	218	201	276	575	1130	174	432	419	48	1334	270	169	316
MSTRG.5121	179	5132	1988	5	6	126	7444	4017	2	2006	64	2777	3695	91	120
MSTRG.5122	1539	1173	161	572	151	462	1239	364	790	656	891	1342	377	359	285
MSTRG.5123	13039	144	320	56	382	9194	536	56	5	360	10889	385	386	1	291
MSTRG.5124	119	879	96	553	2125	300	981	162	196	1201	115	615	273	305	2357
MSTRG.5125	248	57	89	386	979	575	113	266	330	3808	160	85	476	591	2098
MSTRG.5126	195	505	507	5765	10	48	1258	511	19861	83	83	550	402	2740	81
MSTRG.5127	5001	1054	251	22832	65	1822	388	187	14080	91	1257	1004	451	27907	363
MSTRG.5128	2070	109	14538	216	2077	1255	219	12843	112	2604	1332	144	10546	269	1737
MSTRG.5129	7953	210	747	513	462	11838	487	987	140	334	4468	327	1184	837	386
MSTRG.513	2190	3	5875	4524	60	2412	24	5804	4424	43	714	12	4214	4491	18
MSTRG.5130	1277	462	913	6663	218	669	301	656	7856	247	1183	314	989	6627	188
MSTRG.5131	820	81	581	27853	74	445	232	998	13873	64	748	129	597	9465	81
MSTRG.5132	1728	394	21	44	6339	777	2147	2	13	4214	1329	992	47	65	5200
MSTRG.5133	4465	670	373	2002	0	4754	684	314	845	1	1692	808	626	1608	1
MSTRG.5134	1145	6486	1325	6375	44	1244	7143	1301	4801	40	828	6879	2152	4038	50
MSTRG.5135	144	3438	175	2100	64	395	2641	2	2093	65	190	3413	81	2687	24
MSTRG.5136	1333	238	190	222	11	1122	863	94	329	69	542	646	43	258	17
MSTRG.5137	177	331	6	3788	1476	111	154	1	1588	453	165	275	64	2362	744
MSTRG.5138	836	2715	198	0	82	940	5009	182	2	19	451	3940	148	40	104
MSTRG.5139	23	8	675	0	262	32	2507	552	0	598	28	1389	748	0	288
MSTRG.514	21504	1761	10569	0	859	21971	2087	6877	25	648	5898	2064	2283	20	915
MSTRG.5140	66	1606	1247	604	2941	53	1205	3247	89	3792	68	904	661	250	2201
MSTRG.5141	1304	123	133	163	1170	235	21	2119	443	1445	725	46	149	86	912
MSTRG.5142	116	978	80	552	8997	119	1453	61	180	10012	67	1777	125	451	5457
MSTRG.5143	425	2540	14883	212	4	365	2165	6086	51	0	210	3908	14919	107	45
MSTRG.5144	797	40	16199	5146	1	401	9	20267	2417	22	449	14	18195	3105	1
MSTRG.5145	923	0	92	0	39	500	0	447	0	5	345	0	64	0	0
MSTRG.5146	808	1162	25	0	111	1848	601	34	35	58	717	777	0	37	188
MSTRG.5147	619	707	2266	1057	2726	863	351	2630	1300	1464	929	548	1494	816	942
MSTRG.5148	4276	755	30	642	132	4819	2895	107	1201	120	3793	617	2	717	295
MSTRG.5149	8103	6	583	26	3511	8176	301	462	35	4901	5295	12	413	101	3392
MSTRG.515	18	165	12	229	303	123	116	212	49	235	49	419	82	172	217
MSTRG.5150	3767	2077	4823	119	115	3004	1924	3804	250	51	2514	1684	5515	239	2
MSTRG.5151	506	349	78	382	1258	1017	387	588	1004	3103	653	417	28	440	1329
MSTRG.5152	2323	70	25668	2171	1848	2448	96	13077	1738	1370	1500	49	23926	1852	1262
MSTRG.5153	2525	1865	271	932	1760	900	1086	371	2024	2276	760	2211	223	1324	2291
MSTRG.5154	65	234	297	3811	81	10	400	176	1965	453	9	254	295	2326	42
MSTRG.5155	1439	11378	57	209	4	1746	2997	2	129	1	2941	6610	26	69	43
MSTRG.5156	2940	2460	3005	524	7003	1430	1769	3645	1992	10369	3239	2626	2543	2124	5058
MSTRG.5157	0	1063	163	3976	55	0	511	1551	4279	50	0	1000	5	1992	104
MSTRG.5158	5969	7550	284	1042	1003	1648	4412	25	1248	786	6425	6244	466	1407	1052
MSTRG.5159	761	200	2028	213	159	339	158	802	163	529	395	198	1372	78	326
MSTRG.516	1117	63	798	87	3752	1251	764	448	36	2334	639	200	463	11	2898
MSTRG.5160	992	537	429	15471	45	3137	509	477	2973	6	273	956	535	3064	95
MSTRG.5161	9	0	10	5916	78	656	0	3973	8046	3	6	10	173	7150	94
MSTRG.5162	13162	1	3325	1	579	2242	1	3217	1	680	5473	1	5433	1	622
MSTRG.5163	3455	227	1524	928	120	1398	168	2760	1511	220	2168	189	2957	708	150
MSTRG.5164	1219	647	22	340	5861	545	981	83	376	2706	546	636	75	6	3477
MSTRG.5165	2318	7	66	1525	6235	2085	7	79	862	6661	1597	17	349	873	9176
MSTRG.5166	443	33	2617	158	0	348	29	2298	651	0	494	21	2761	178	0
MSTRG.5167	115	0	18	180	1	108	0	16	100	0	14	0	35	153	19
MSTRG.5168	38	248	181	75	7	49	363	58	52	114	10	36	312	66	0
MSTRG.5169	2165	327	70	1378	615	1160	415	1	465	762	1612	437	15	1148	594
MSTRG.517	17671	1984	40	285	62	18057	1844	48	213	366	4804	1425	74	186	135
MSTRG.5170	388	5	92	2371	50	394	1	114	4202	100	150	4	65	2118	20
MSTRG.5171	73	207	7	712	892	23	240	2	252	537	36	283	6	646	284
MSTRG.5172	9235	1026	44	3081	454	4919	3546	9	2598	270	6929	2054	269	1440	944
MSTRG.5173	2	215	67	4	5436	1	318	23	0	15083	1	420	32	16	4697
MSTRG.5174	1024	412	10	7510	2751	868	132	98	4942	21003	1542	363	53	4705	1575
MSTRG.5175	54	188	1714	1468	240	66	112	444	1627	2956	51	363	970	992	172
MSTRG.5176	1	142	0	976	2887	1	135	0	446	2735	3	679	57	774	1543
MSTRG.5177	1	1032	70	1091	259	0	615	11	1005	40	2	619	206	1120	230
MSTRG.5178	15	274	423	2770	1959	18	187	409	681	2123	7	342	478	1902	1482
MSTRG.5179	320	11594	3779	0	74	358	10612	2823	0	710	75	6606	3306	0	101
MSTRG.518	2312	3317	8850	2226	257	2570	5349	5596	817	2340	1746	4103	1826	1988	282
MSTRG.5180	626	1111	1527	1121	2035	561	992	2488	1004	2628	254	998	1261	826	1604
MSTRG.5181	4462	938	9521	0	4381	4023	682	6200	32	5018	1828	950	9068	1	5125
MSTRG.5182	0	516	602	3327	38	0	1271	217	2337	2	0	687	304	3109	0
MSTRG.5183	312	0	2963	2608	247	385	31	849	3103	162	26	0	1136	2340	261
MSTRG.5184	369	11	200	99	1441	413	0	76	338	2352	295	46	594	236	1175
MSTRG.5185	305	330	4539	1288	0	206	543	4485	1278	0	233	511	4718	1181	0
MSTRG.5186	9	2490	121	1380	718	4	2993	85	1217	615	2	2530	7	550	958
MSTRG.5187	925	50	1308	0	2023	3295	50	2919	0	2962	382	20	1536	0	2042
MSTRG.5188	431	186	447	0	1	422	124	210	0	252	399	247	773	0	511
MSTRG.5189	377	246	1311	135	875	71	1	485	0	55	137	81	664	71	407
MSTRG.519	733	4541	1216	4	251	785	5973	2135	4	98	417	3836	1685	34	314
MSTRG.5190	228	185	2020	0	0	110	85	1866	0	0	387	63	3210	0	0
MSTRG.5191	227	0	136	812	1651	214	0	502	2072	4096	714	0	73	1508	1263
MSTRG.5192	270	227	7	114	64	66	213	3	964	104	104	113	83	172	121
MSTRG.5193	82	562	8586	68	2440	2	727	10398	108	2300	3	577	7937	81	2078
MSTRG.5194	1012	1058	221	25692	1480	604	2283	139	6993	3591	478	943	488	9985	1248
MSTRG.5195	336	132	68	1637	479	221	559	123	1107	638	290	358	120	835	670
MSTRG.5196	9	41	1114	69	55	38	28	797	328	113	25	239	1446	163	108
MSTRG.5197	20085	13198	183	4276	3155	15977	10465	428	15530	2670	10500	8986	391	4934	1436
MSTRG.5198	1233	8335	316	7	0	935	9250	162	26	0	654	9462	316	52	0
MSTRG.5199	1167	511	958	884	0	834	338	1182	557	0	854	217	1074	1799	0
MSTRG.52	126	145	115	1569	49	134	115	49	1609	110	185	207	77	1041	156
MSTRG.520	1253	6688	455	69	96888	1273	43382	922	85	154367	809	12191	618	10	36182
MSTRG.5200	723	6902	8995	0	35	860	5769	10616	0	1528	432	6667	7985	0	62
MSTRG.5201	0	1478	14	469	33	25	1830	39	1928	830	0	653	7	305	661
MSTRG.5202	25	3972	627	92	144	6	5114	342	41	48	65	5210	102	121	121
MSTRG.5203	244	89	8235	14734	1461	428	320	5353	2716	2319	212	188	8577	8224	1125
MSTRG.5204	958	27805	1567	147	315	3218	114658	2766	113	354	894	17004	694	251	393
MSTRG.5205	100	17562	5216	11873	884	165	18053	4974	5075	1487	216	13486	6887	10760	794
MSTRG.5206	307	117	121	785	46	1	136	205	1129	8	60	103	175	983	229
MSTRG.5207	526	1508	14294	0	1405	147	1563	98597	0	1419	63	1093	8554	0	1390
MSTRG.5208	18	82	21201	95	176	10	62	14790	2	317	67	43	15562	1	390
MSTRG.5209	277	2344	6012	34	971	224	1567	34956	14	2377	132	2290	1809	46	625
MSTRG.521	3032	24	1914	2865	4901	754	155	1605	2812	3097	2066	53	1588	1502	4837
MSTRG.5210	440	378	171	495	219	464	918	384	127	152	210	681	116	1159	228
MSTRG.5211	1955	1862	331	1194	355	2007	1219	418	675	327	682	2107	162	1753	309
MSTRG.5212	410	0	1311	0	231	771	5	2050	0	243	351	0	1225	0	373
MSTRG.5213	69	3598	82	1329	48	34	2451	68	1378	79	117	1606	63	1479	62
MSTRG.5214	12861	154	2117	1221	0	10239	119	1429	2203	0	4216	76	2608	1300	0
MSTRG.5215	33555	6021	238	993	1	24664	1895	974	466	1	20212	1168	538	766	0
MSTRG.5216	365	1293	1986	198	14	426	2112	1094	241	42	254	2504	2501	222	65
MSTRG.5217	33	152	0	455	480	33	171	7	218	406	0	204	0	273	272
MSTRG.5218	2633	523	3535	3182	3321	2293	854	1764	4761	4256	1198	448	2705	3660	4370
MSTRG.5219	66	943	177	1462	1542	128	625	197	512	833	3	304	38	409	1403
MSTRG.522	350	313	1806	11448	733	205	2265	395	7073	894	220	1055	1535	8017	1195
MSTRG.5220	586	37	1	210	33	526	25	1	141	3	314	92	1	183	3
MSTRG.5221	6071	0	7387	978	0	4762	0	764	2011	0	4196	0	2553	1415	0
MSTRG.5222	228	0	1557	438	0	250	0	1195	228	0	35	0	3457	418	0
MSTRG.5223	44396	0	123	170	104	29913	0	104	36	60	36964	0	295	48	1009
MSTRG.5224	223	18	590	1414	192	92	650	780	876	374	173	44	289	523	148
MSTRG.5225	43	8	2310	1865	0	21	39	240	3395	0	50	10	1193	2175	61
MSTRG.5226	2684	2227	1341	3654	447	1234	1519	442	6532	528	772	2897	2870	4449	382
MSTRG.5227	1811	6814	0	872	22216	2557	5155	0	450	18163	548	11354	0	2298	44246
MSTRG.5228	901	0	0	0	116	33	0	0	0	74	1189	0	0	58	376
MSTRG.5229	2292	4	0	2081	1740	1042	0	0	3194	2114	889	50	0	1494	2443
MSTRG.523	11	13	401	1300	1290	3	96	113	1899	2277	19	17	74	759	1145
MSTRG.5230	540	815	0	464	589	567	2267	43	656	906	483	1111	0	766	867
MSTRG.5231	25	323	11	1585	5449	1826	350	963	954	9620	118	383	19	1286	6444
MSTRG.5232	3541	207	11	2162	12360	3017	265	33	4289	14613	4666	174	11	2813	8043
MSTRG.5233	1827	13178	4337	2621	164	3447	13652	1747	1542	149	2557	14657	4803	1492	190
MSTRG.5234	36	58	5391	1341	5443	95	70	4561	848	4601	42	34	11538	981	5579
MSTRG.5235	97	2176	0	462	1264	63	2588	0	502	1855	200	1315	0	501	1920
MSTRG.5236	3017	111	218	656	1	2369	102	110	381	0	2072	5	332	494	5
MSTRG.5237	755	149	0	29	3349	519	151	372	1676	2069	468	84	0	245	3149
MSTRG.5238	17	5907	824	1233	0	19	3937	1780	5157	0	11	5476	801	1585	0
MSTRG.5239	113	4	149	49	424	71	32	395	6	301	101	3	318	34	535
MSTRG.524	135	5461	1887	84	880	60	36013	496	3	1552	578	9626	920	11	1023
MSTRG.5240	0	106	166	406	132	1	120	215	139	334	0	45	120	298	90
MSTRG.5241	6	20593	3623	143	3950	51	14661	13759	89	1770	9	30002	5494	101	933
MSTRG.5242	17	411	5108	0	62	61	297	6662	0	2	11	248	6921	0	1
MSTRG.5243	3678	0	115	1448	506	558	8	322	436	189	1142	14	127	915	462
MSTRG.5244	0	211	489	725	285	1	139	654	983	336	64	191	366	865	686
MSTRG.5245	63	60	816	29	4855	8	47	85	8	20210	99	26	1294	47	1795
